Velocity,Substrate,Depth,Velocity_full,Depth_full,Velocity_25,Velocity_75,Velocity_25_Suit_Used,Velocity_25_UnSuit_Avail,Velocity_25_UnSuit_Used,Velocity_25_Suit_Avail,t_stat_50_Velocity,p_50_Velocity,Substrate_25,Substrate_75,Substrate_25_Suit_Used,Substrate_25_UnSuit_Avail,Substrate_25_UnSuit_Used,Substrate_25_Suit_Avail,t_stat_50_Substrate,p_50_Substrate,Depth_25,Depth_75,Depth_25_Suit_Used,Depth_25_UnSuit_Avail,Depth_25_UnSuit_Used,Depth_25_Suit_Avail,t_stat_50_Depth,p_50_Depth,Velocity_5,Velocity_95,Velocity_5_Suit_Used,Velocity_5_UnSuit_Avail,Velocity_5_UnSuit_Used,Velocity_5_Suit_Avail,t_stat_90_Velocity,p_90_Velocity,Substrate_5,Substrate_95,Substrate_5_Suit_Used,Substrate_5_UnSuit_Avail,Substrate_5_UnSuit_Used,Substrate_5_Suit_Avail,t_stat_90_Substrate,p_90_Substrate,Depth_5,Depth_95,Depth_5_Suit_Used,Depth_5_UnSuit_Avail,Depth_5_UnSuit_Used,Depth_5_Suit_Avail,t_stat_90_Depth,p_90_Depth
-0.7612769454321342,0.3945871294893473,0.6095330978972409,-0.44528119217227363,0.5187383691129365,0.02,0.09,3,41,4,17,0.7335590785544212,0,4,6,3,23,4,35,-0.886907504910943,0,61,72.5,3,49,4,9,1.7611164856819963,1,0,0.12099999999999998,6,21,1,37,1.1578121427116028,0,3,7,7,4,0,54,0.7172272468929901,0,49.9,128.49999999999994,5,24,2,34,0.6533983413252851,0
-0.7612769454321342,0.3945871294893473,0.6095330978972409,-0.44528119217227363,0.5187383691129365,0.02,0.09,3,41,4,17,0.7335590785544212,0,4,6,3,23,4,35,-0.886907504910943,0,61,72.5,3,49,4,9,1.7611164856819963,1,0,0.12099999999999998,6,21,1,37,1.1578121427116028,0,3,7,7,4,0,54,0.7172272468929901,0,49.9,128.49999999999994,5,24,2,34,0.6533983413252851,0
-0.7612769454321342,0.3945871294893473,0.6095330978972409,-0.44528119217227363,0.5187383691129365,0.02,0.09,3,41,4,17,0.7335590785544212,0,4,6,3,23,4,35,-0.886907504910943,0,61,72.5,3,49,4,9,1.7611164856819963,1,0,0.12099999999999998,6,21,1,37,1.1578121427116028,0,3,7,7,4,0,54,0.7172272468929901,0,49.9,128.49999999999994,5,24,2,34,0.6533983413252851,0
-0.7612769454321342,0.3945871294893473,0.6095330978972409,-0.44528119217227363,0.5187383691129365,0.02,0.09,3,41,4,17,0.7335590785544212,0,4,6,3,23,4,35,-0.886907504910943,0,61,72.5,3,49,4,9,1.7611164856819963,1,0,0.12099999999999998,6,21,1,37,1.1578121427116028,0,3,7,7,4,0,54,0.7172272468929901,0,49.9,128.49999999999994,5,24,2,34,0.6533983413252851,0
-0.61245191854941194,0.6476645647790654,0.571563385398863,-0.3491567633526476,0.49752232656491463,0.045,0.09,3,48,4,10,1.6004925350278278,0,5,6,4,27,3,31,0.18522101980808592,0,56,72.5,3,42,4,16,0.8391307472602281,0,0.012000000000000002,0.12099999999999998,5,35,2,23,1.6036274960627654,0,3.5999999999999996,7,6,19,1,39,1.0003078343923926,0,48.099999999999994,128.49999999999994,5,22,2,36,0.4847074656385898,0
-0.7612769454321342,0.3945871294893473,0.6095330978972409,-0.44528119217227363,0.5187383691129365,0.02,0.09,3,41,4,17,0.7335590785544212,0,4,6,3,23,4,35,-0.886907504910943,0,61,72.5,3,49,4,9,1.7611164856819963,1,0,0.12099999999999998,6,21,1,37,1.1578121427116028,0,3,7,7,4,0,54,0.7172272468929901,0,49.9,128.49999999999994,5,24,2,34,0.6533983413252851,0
-0.7612769454321342,0.3945871294893473,0.6095330978972409,-0.44528119217227363,0.5187383691129365,0.02,0.09,3,41,4,17,0.7335590785544212,0,4,6,3,23,4,35,-0.886907504910943,0,61,72.5,3,49,4,9,1.7611164856819963,1,0,0.12099999999999998,6,21,1,37,1.1578121427116028,0,3,7,7,4,0,54,0.7172272468929901,0,49.9,128.49999999999994,5,24,2,34,0.6533983413252851,0
-0.7612769454321342,0.3945871294893473,0.6095330978972409,-0.44528119217227363,0.5187383691129365,0.02,0.09,3,41,4,17,0.7335590785544212,0,4,6,3,23,4,35,-0.886907504910943,0,61,72.5,3,49,4,9,1.7611164856819963,1,0,0.12099999999999998,6,21,1,37,1.1578121427116028,0,3,7,7,4,0,54,0.7172272468929901,0,49.9,128.49999999999994,5,24,2,34,0.6533983413252851,0
-0.61245191854941194,0.6476645647790654,0.571563385398863,-0.3491567633526476,0.49752232656491463,0.045,0.09,3,48,4,10,1.6004925350278278,0,5,6,4,27,3,31,0.18522101980808592,0,56,72.5,3,42,4,16,0.8391307472602281,0,0.012000000000000002,0.12099999999999998,5,35,2,23,1.6036274960627654,0,3.5999999999999996,7,6,19,1,39,1.0003078343923926,0,48.099999999999994,128.49999999999994,5,22,2,36,0.4847074656385898,0
-0.7612769454321342,0.3945871294893473,0.6095330978972409,-0.44528119217227363,0.5187383691129365,0.02,0.09,3,41,4,17,0.7335590785544212,0,4,6,3,23,4,35,-0.886907504910943,0,61,72.5,3,49,4,9,1.7611164856819963,1,0,0.12099999999999998,6,21,1,37,1.1578121427116028,0,3,7,7,4,0,54,0.7172272468929901,0,49.9,128.49999999999994,5,24,2,34,0.6533983413252851,0
-0.7612769454321342,0.3945871294893473,0.6095330978972409,-0.44528119217227363,0.5187383691129365,0.02,0.09,3,41,4,17,0.7335590785544212,0,4,6,3,23,4,35,-0.886907504910943,0,61,72.5,3,49,4,9,1.7611164856819963,1,0,0.12099999999999998,6,21,1,37,1.1578121427116028,0,3,7,7,4,0,54,0.7172272468929901,0,49.9,128.49999999999994,5,24,2,34,0.6533983413252851,0
-0.7612769454321342,0.3945871294893473,0.6095330978972409,-0.44528119217227363,0.5187383691129365,0.02,0.09,3,41,4,17,0.7335590785544212,0,4,6,3,23,4,35,-0.886907504910943,0,61,72.5,3,49,4,9,1.7611164856819963,1,0,0.12099999999999998,6,21,1,37,1.1578121427116028,0,3,7,7,4,0,54,0.7172272468929901,0,49.9,128.49999999999994,5,24,2,34,0.6533983413252851,0
-0.61245191854941194,0.6476645647790654,0.571563385398863,-0.3491567633526476,0.49752232656491463,0.045,0.09,3,48,4,10,1.6004925350278278,0,5,6,4,27,3,31,0.18522101980808592,0,56,72.5,3,42,4,16,0.8391307472602281,0,0.012000000000000002,0.12099999999999998,5,35,2,23,1.6036274960627654,0,3.5999999999999996,7,6,19,1,39,1.0003078343923926,0,48.099999999999994,128.49999999999994,5,22,2,36,0.4847074656385898,0
-0.61245191854941194,0.6476645647790654,0.571563385398863,-0.3491567633526476,0.49752232656491463,0.045,0.09,3,48,4,10,1.6004925350278278,0,5,6,4,27,3,31,0.18522101980808592,0,56,72.5,3,42,4,16,0.8391307472602281,0,0.012000000000000002,0.12099999999999998,5,35,2,23,1.6036274960627654,0,3.5999999999999996,7,6,19,1,39,1.0003078343923926,0,48.099999999999994,128.49999999999994,5,22,2,36,0.4847074656385898,0
-0.7612769454321342,0.3945871294893473,0.6095330978972409,-0.44528119217227363,0.5187383691129365,0.02,0.09,3,41,4,17,0.7335590785544212,0,4,6,3,23,4,35,-0.886907504910943,0,61,72.5,3,49,4,9,1.7611164856819963,1,0,0.12099999999999998,6,21,1,37,1.1578121427116028,0,3,7,7,4,0,54,0.7172272468929901,0,49.9,128.49999999999994,5,24,2,34,0.6533983413252851,0
-0.7612769454321342,0.3945871294893473,0.6095330978972409,-0.44528119217227363,0.5187383691129365,0.02,0.09,3,41,4,17,0.7335590785544212,0,4,6,3,23,4,35,-0.886907504910943,0,61,72.5,3,49,4,9,1.7611164856819963,1,0,0.12099999999999998,6,21,1,37,1.1578121427116028,0,3,7,7,4,0,54,0.7172272468929901,0,49.9,128.49999999999994,5,24,2,34,0.6533983413252851,0
-0.61245191854941194,0.6476645647790654,0.571563385398863,-0.3491567633526476,0.49752232656491463,0.045,0.09,3,48,4,10,1.6004925350278278,0,5,6,4,27,3,31,0.18522101980808592,0,56,72.5,3,42,4,16,0.8391307472602281,0,0.012000000000000002,0.12099999999999998,5,35,2,23,1.6036274960627654,0,3.5999999999999996,7,6,19,1,39,1.0003078343923926,0,48.099999999999994,128.49999999999994,5,22,2,36,0.4847074656385898,0
-0.7612769454321342,0.3945871294893473,0.6095330978972409,-0.44528119217227363,0.5187383691129365,0.02,0.09,3,41,4,17,0.7335590785544212,0,4,6,3,23,4,35,-0.886907504910943,0,61,72.5,3,49,4,9,1.7611164856819963,1,0,0.12099999999999998,6,21,1,37,1.1578121427116028,0,3,7,7,4,0,54,0.7172272468929901,0,49.9,128.49999999999994,5,24,2,34,0.6533983413252851,0
-0.7612769454321342,0.3945871294893473,0.6095330978972409,-0.44528119217227363,0.5187383691129365,0.02,0.09,3,41,4,17,0.7335590785544212,0,4,6,3,23,4,35,-0.886907504910943,0,61,72.5,3,49,4,9,1.7611164856819963,1,0,0.12099999999999998,6,21,1,37,1.1578121427116028,0,3,7,7,4,0,54,0.7172272468929901,0,49.9,128.49999999999994,5,24,2,34,0.6533983413252851,0
-0.7612769454321342,0.3945871294893473,0.6095330978972409,-0.44528119217227363,0.5187383691129365,0.02,0.09,3,41,4,17,0.7335590785544212,0,4,6,3,23,4,35,-0.886907504910943,0,61,72.5,3,49,4,9,1.7611164856819963,1,0,0.12099999999999998,6,21,1,37,1.1578121427116028,0,3,7,7,4,0,54,0.7172272468929901,0,49.9,128.49999999999994,5,24,2,34,0.6533983413252851,0
-0.61245191854941194,0.6476645647790654,0.571563385398863,-0.3491567633526476,0.49752232656491463,0.045,0.09,3,48,4,10,1.6004925350278278,0,5,6,4,27,3,31,0.18522101980808592,0,56,72.5,3,42,4,16,0.8391307472602281,0,0.012000000000000002,0.12099999999999998,5,35,2,23,1.6036274960627654,0,3.5999999999999996,7,6,19,1,39,1.0003078343923926,0,48.099999999999994,128.49999999999994,5,22,2,36,0.4847074656385898,0
-0.61245191854941194,0.6476645647790654,0.571563385398863,-0.3491567633526476,0.49752232656491463,0.045,0.09,3,48,4,10,1.6004925350278278,0,5,6,4,27,3,31,0.18522101980808592,0,56,72.5,3,42,4,16,0.8391307472602281,0,0.012000000000000002,0.12099999999999998,5,35,2,23,1.6036274960627654,0,3.5999999999999996,7,6,19,1,39,1.0003078343923926,0,48.099999999999994,128.49999999999994,5,22,2,36,0.4847074656385898,0
-0.61245191854941194,0.6476645647790654,0.571563385398863,-0.3491567633526476,0.49752232656491463,0.045,0.09,3,48,4,10,1.6004925350278278,0,5,6,4,27,3,31,0.18522101980808592,0,56,72.5,3,42,4,16,0.8391307472602281,0,0.012000000000000002,0.12099999999999998,5,35,2,23,1.6036274960627654,0,3.5999999999999996,7,6,19,1,39,1.0003078343923926,0,48.099999999999994,128.49999999999994,5,22,2,36,0.4847074656385898,0
-0.61245191854941194,0.6476645647790654,0.571563385398863,-0.3491567633526476,0.49752232656491463,0.045,0.09,3,48,4,10,1.6004925350278278,0,5,6,4,27,3,31,0.18522101980808592,0,56,72.5,3,42,4,16,0.8391307472602281,0,0.012000000000000002,0.12099999999999998,5,35,2,23,1.6036274960627654,0,3.5999999999999996,7,6,19,1,39,1.0003078343923926,0,48.099999999999994,128.49999999999994,5,22,2,36,0.4847074656385898,0
-0.61245191854941194,0.6476645647790654,0.571563385398863,-0.3491567633526476,0.49752232656491463,0.045,0.09,3,48,4,10,1.6004925350278278,0,5,6,4,27,3,31,0.18522101980808592,0,56,72.5,3,42,4,16,0.8391307472602281,0,0.012000000000000002,0.12099999999999998,5,35,2,23,1.6036274960627654,0,3.5999999999999996,7,6,19,1,39,1.0003078343923926,0,48.099999999999994,128.49999999999994,5,22,2,36,0.4847074656385898,0
-0.61245191854941194,0.6476645647790654,0.571563385398863,-0.3491567633526476,0.49752232656491463,0.045,0.09,3,48,4,10,1.6004925350278278,0,5,6,4,27,3,31,0.18522101980808592,0,56,72.5,3,42,4,16,0.8391307472602281,0,0.012000000000000002,0.12099999999999998,5,35,2,23,1.6036274960627654,0,3.5999999999999996,7,6,19,1,39,1.0003078343923926,0,48.099999999999994,128.49999999999994,5,22,2,36,0.4847074656385898,0
-0.7612769454321342,0.3945871294893473,0.6095330978972409,-0.44528119217227363,0.5187383691129365,0.02,0.09,3,41,4,17,0.7335590785544212,0,4,6,3,23,4,35,-0.886907504910943,0,61,72.5,3,49,4,9,1.7611164856819963,1,0,0.12099999999999998,6,21,1,37,1.1578121427116028,0,3,7,7,4,0,54,0.7172272468929901,0,49.9,128.49999999999994,5,24,2,34,0.6533983413252851,0
-0.61245191854941194,0.6476645647790654,0.571563385398863,-0.3491567633526476,0.49752232656491463,0.045,0.09,3,48,4,10,1.6004925350278278,0,5,6,4,27,3,31,0.18522101980808592,0,56,72.5,3,42,4,16,0.8391307472602281,0,0.012000000000000002,0.12099999999999998,5,35,2,23,1.6036274960627654,0,3.5999999999999996,7,6,19,1,39,1.0003078343923926,0,48.099999999999994,128.49999999999994,5,22,2,36,0.4847074656385898,0
-0.61245191854941194,0.6476645647790654,0.571563385398863,-0.3491567633526476,0.49752232656491463,0.045,0.09,3,48,4,10,1.6004925350278278,0,5,6,4,27,3,31,0.18522101980808592,0,56,72.5,3,42,4,16,0.8391307472602281,0,0.012000000000000002,0.12099999999999998,5,35,2,23,1.6036274960627654,0,3.5999999999999996,7,6,19,1,39,1.0003078343923926,0,48.099999999999994,128.49999999999994,5,22,2,36,0.4847074656385898,0
-0.61245191854941194,0.6476645647790654,0.571563385398863,-0.3491567633526476,0.49752232656491463,0.045,0.09,3,48,4,10,1.6004925350278278,0,5,6,4,27,3,31,0.18522101980808592,0,56,72.5,3,42,4,16,0.8391307472602281,0,0.012000000000000002,0.12099999999999998,5,35,2,23,1.6036274960627654,0,3.5999999999999996,7,6,19,1,39,1.0003078343923926,0,48.099999999999994,128.49999999999994,5,22,2,36,0.4847074656385898,0
-0.61245191854941194,0.6476645647790654,0.571563385398863,-0.3491567633526476,0.49752232656491463,0.045,0.09,3,48,4,10,1.6004925350278278,0,5,6,4,27,3,31,0.18522101980808592,0,56,72.5,3,42,4,16,0.8391307472602281,0,0.012000000000000002,0.12099999999999998,5,35,2,23,1.6036274960627654,0,3.5999999999999996,7,6,19,1,39,1.0003078343923926,0,48.099999999999994,128.49999999999994,5,22,2,36,0.4847074656385898,0
-0.7612769454321342,0.3945871294893473,0.6095330978972409,-0.44528119217227363,0.5187383691129365,0.02,0.09,3,41,4,17,0.7335590785544212,0,4,6,3,23,4,35,-0.886907504910943,0,61,72.5,3,49,4,9,1.7611164856819963,1,0,0.12099999999999998,6,21,1,37,1.1578121427116028,0,3,7,7,4,0,54,0.7172272468929901,0,49.9,128.49999999999994,5,24,2,34,0.6533983413252851,0
-0.7612769454321342,0.3945871294893473,0.6095330978972409,-0.44528119217227363,0.5187383691129365,0.02,0.09,3,41,4,17,0.7335590785544212,0,4,6,3,23,4,35,-0.886907504910943,0,61,72.5,3,49,4,9,1.7611164856819963,1,0,0.12099999999999998,6,21,1,37,1.1578121427116028,0,3,7,7,4,0,54,0.7172272468929901,0,49.9,128.49999999999994,5,24,2,34,0.6533983413252851,0
-0.61245191854941194,0.6476645647790654,0.571563385398863,-0.3491567633526476,0.49752232656491463,0.045,0.09,3,48,4,10,1.6004925350278278,0,5,6,4,27,3,31,0.18522101980808592,0,56,72.5,3,42,4,16,0.8391307472602281,0,0.012000000000000002,0.12099999999999998,5,35,2,23,1.6036274960627654,0,3.5999999999999996,7,6,19,1,39,1.0003078343923926,0,48.099999999999994,128.49999999999994,5,22,2,36,0.4847074656385898,0
-0.61245191854941194,0.6476645647790654,0.571563385398863,-0.3491567633526476,0.49752232656491463,0.045,0.09,3,48,4,10,1.6004925350278278,0,5,6,4,27,3,31,0.18522101980808592,0,56,72.5,3,42,4,16,0.8391307472602281,0,0.012000000000000002,0.12099999999999998,5,35,2,23,1.6036274960627654,0,3.5999999999999996,7,6,19,1,39,1.0003078343923926,0,48.099999999999994,128.49999999999994,5,22,2,36,0.4847074656385898,0
-0.61245191854941194,0.6476645647790654,0.571563385398863,-0.3491567633526476,0.49752232656491463,0.045,0.09,3,48,4,10,1.6004925350278278,0,5,6,4,27,3,31,0.18522101980808592,0,56,72.5,3,42,4,16,0.8391307472602281,0,0.012000000000000002,0.12099999999999998,5,35,2,23,1.6036274960627654,0,3.5999999999999996,7,6,19,1,39,1.0003078343923926,0,48.099999999999994,128.49999999999994,5,22,2,36,0.4847074656385898,0
-0.61245191854941194,0.6476645647790654,0.571563385398863,-0.3491567633526476,0.49752232656491463,0.045,0.09,3,48,4,10,1.6004925350278278,0,5,6,4,27,3,31,0.18522101980808592,0,56,72.5,3,42,4,16,0.8391307472602281,0,0.012000000000000002,0.12099999999999998,5,35,2,23,1.6036274960627654,0,3.5999999999999996,7,6,19,1,39,1.0003078343923926,0,48.099999999999994,128.49999999999994,5,22,2,36,0.4847074656385898,0
-0.7612769454321342,0.3945871294893473,0.6095330978972409,-0.44528119217227363,0.5187383691129365,0.02,0.09,3,41,4,17,0.7335590785544212,0,4,6,3,23,4,35,-0.886907504910943,0,61,72.5,3,49,4,9,1.7611164856819963,1,0,0.12099999999999998,6,21,1,37,1.1578121427116028,0,3,7,7,4,0,54,0.7172272468929901,0,49.9,128.49999999999994,5,24,2,34,0.6533983413252851,0
-0.61245191854941194,0.6476645647790654,0.571563385398863,-0.3491567633526476,0.49752232656491463,0.045,0.09,3,48,4,10,1.6004925350278278,0,5,6,4,27,3,31,0.18522101980808592,0,56,72.5,3,42,4,16,0.8391307472602281,0,0.012000000000000002,0.12099999999999998,5,35,2,23,1.6036274960627654,0,3.5999999999999996,7,6,19,1,39,1.0003078343923926,0,48.099999999999994,128.49999999999994,5,22,2,36,0.4847074656385898,0
-0.7612769454321342,0.3945871294893473,0.6095330978972409,-0.44528119217227363,0.5187383691129365,0.02,0.09,3,41,4,17,0.7335590785544212,0,4,6,3,23,4,35,-0.886907504910943,0,61,72.5,3,49,4,9,1.7611164856819963,1,0,0.12099999999999998,6,21,1,37,1.1578121427116028,0,3,7,7,4,0,54,0.7172272468929901,0,49.9,128.49999999999994,5,24,2,34,0.6533983413252851,0
-0.61245191854941194,0.6476645647790654,0.571563385398863,-0.3491567633526476,0.49752232656491463,0.045,0.09,3,48,4,10,1.6004925350278278,0,5,6,4,27,3,31,0.18522101980808592,0,56,72.5,3,42,4,16,0.8391307472602281,0,0.012000000000000002,0.12099999999999998,5,35,2,23,1.6036274960627654,0,3.5999999999999996,7,6,19,1,39,1.0003078343923926,0,48.099999999999994,128.49999999999994,5,22,2,36,0.4847074656385898,0
-0.61245191854941194,0.6476645647790654,0.571563385398863,-0.3491567633526476,0.49752232656491463,0.045,0.09,3,48,4,10,1.6004925350278278,0,5,6,4,27,3,31,0.18522101980808592,0,56,72.5,3,42,4,16,0.8391307472602281,0,0.012000000000000002,0.12099999999999998,5,35,2,23,1.6036274960627654,0,3.5999999999999996,7,6,19,1,39,1.0003078343923926,0,48.099999999999994,128.49999999999994,5,22,2,36,0.4847074656385898,0
-0.7612769454321342,0.3945871294893473,0.6095330978972409,-0.44528119217227363,0.5187383691129365,0.02,0.09,3,41,4,17,0.7335590785544212,0,4,6,3,23,4,35,-0.886907504910943,0,61,72.5,3,49,4,9,1.7611164856819963,1,0,0.12099999999999998,6,21,1,37,1.1578121427116028,0,3,7,7,4,0,54,0.7172272468929901,0,49.9,128.49999999999994,5,24,2,34,0.6533983413252851,0
-0.7612769454321342,0.3945871294893473,0.6095330978972409,-0.44528119217227363,0.5187383691129365,0.02,0.09,3,41,4,17,0.7335590785544212,0,4,6,3,23,4,35,-0.886907504910943,0,61,72.5,3,49,4,9,1.7611164856819963,1,0,0.12099999999999998,6,21,1,37,1.1578121427116028,0,3,7,7,4,0,54,0.7172272468929901,0,49.9,128.49999999999994,5,24,2,34,0.6533983413252851,0
-0.7612769454321342,0.3945871294893473,0.6095330978972409,-0.44528119217227363,0.5187383691129365,0.02,0.09,3,41,4,17,0.7335590785544212,0,4,6,3,23,4,35,-0.886907504910943,0,61,72.5,3,49,4,9,1.7611164856819963,1,0,0.12099999999999998,6,21,1,37,1.1578121427116028,0,3,7,7,4,0,54,0.7172272468929901,0,49.9,128.49999999999994,5,24,2,34,0.6533983413252851,0
-0.61245191854941194,0.6476645647790654,0.571563385398863,-0.3491567633526476,0.49752232656491463,0.045,0.09,3,48,4,10,1.6004925350278278,0,5,6,4,27,3,31,0.18522101980808592,0,56,72.5,3,42,4,16,0.8391307472602281,0,0.012000000000000002,0.12099999999999998,5,35,2,23,1.6036274960627654,0,3.5999999999999996,7,6,19,1,39,1.0003078343923926,0,48.099999999999994,128.49999999999994,5,22,2,36,0.4847074656385898,0
-0.61245191854941194,0.6476645647790654,0.571563385398863,-0.3491567633526476,0.49752232656491463,0.045,0.09,3,48,4,10,1.6004925350278278,0,5,6,4,27,3,31,0.18522101980808592,0,56,72.5,3,42,4,16,0.8391307472602281,0,0.012000000000000002,0.12099999999999998,5,35,2,23,1.6036274960627654,0,3.5999999999999996,7,6,19,1,39,1.0003078343923926,0,48.099999999999994,128.49999999999994,5,22,2,36,0.4847074656385898,0
-0.61245191854941194,0.6476645647790654,0.571563385398863,-0.3491567633526476,0.49752232656491463,0.045,0.09,3,48,4,10,1.6004925350278278,0,5,6,4,27,3,31,0.18522101980808592,0,56,72.5,3,42,4,16,0.8391307472602281,0,0.012000000000000002,0.12099999999999998,5,35,2,23,1.6036274960627654,0,3.5999999999999996,7,6,19,1,39,1.0003078343923926,0,48.099999999999994,128.49999999999994,5,22,2,36,0.4847074656385898,0
-0.61245191854941194,0.6476645647790654,0.571563385398863,-0.3491567633526476,0.49752232656491463,0.045,0.09,3,48,4,10,1.6004925350278278,0,5,6,4,27,3,31,0.18522101980808592,0,56,72.5,3,42,4,16,0.8391307472602281,0,0.012000000000000002,0.12099999999999998,5,35,2,23,1.6036274960627654,0,3.5999999999999996,7,6,19,1,39,1.0003078343923926,0,48.099999999999994,128.49999999999994,5,22,2,36,0.4847074656385898,0
-0.61245191854941194,0.6476645647790654,0.571563385398863,-0.3491567633526476,0.49752232656491463,0.045,0.09,3,48,4,10,1.6004925350278278,0,5,6,4,27,3,31,0.18522101980808592,0,56,72.5,3,42,4,16,0.8391307472602281,0,0.012000000000000002,0.12099999999999998,5,35,2,23,1.6036274960627654,0,3.5999999999999996,7,6,19,1,39,1.0003078343923926,0,48.099999999999994,128.49999999999994,5,22,2,36,0.4847074656385898,0
-0.7612769454321342,0.3945871294893473,0.6095330978972409,-0.44528119217227363,0.5187383691129365,0.02,0.09,3,41,4,17,0.7335590785544212,0,4,6,3,23,4,35,-0.886907504910943,0,61,72.5,3,49,4,9,1.7611164856819963,1,0,0.12099999999999998,6,21,1,37,1.1578121427116028,0,3,7,7,4,0,54,0.7172272468929901,0,49.9,128.49999999999994,5,24,2,34,0.6533983413252851,0
-0.61245191854941194,0.6476645647790654,0.571563385398863,-0.3491567633526476,0.49752232656491463,0.045,0.09,3,48,4,10,1.6004925350278278,0,5,6,4,27,3,31,0.18522101980808592,0,56,72.5,3,42,4,16,0.8391307472602281,0,0.012000000000000002,0.12099999999999998,5,35,2,23,1.6036274960627654,0,3.5999999999999996,7,6,19,1,39,1.0003078343923926,0,48.099999999999994,128.49999999999994,5,22,2,36,0.4847074656385898,0
-0.61245191854941194,0.6476645647790654,0.571563385398863,-0.3491567633526476,0.49752232656491463,0.045,0.09,3,48,4,10,1.6004925350278278,0,5,6,4,27,3,31,0.18522101980808592,0,56,72.5,3,42,4,16,0.8391307472602281,0,0.012000000000000002,0.12099999999999998,5,35,2,23,1.6036274960627654,0,3.5999999999999996,7,6,19,1,39,1.0003078343923926,0,48.099999999999994,128.49999999999994,5,22,2,36,0.4847074656385898,0
-0.7612769454321342,0.3945871294893473,0.6095330978972409,-0.44528119217227363,0.5187383691129365,0.02,0.09,3,41,4,17,0.7335590785544212,0,4,6,3,23,4,35,-0.886907504910943,0,61,72.5,3,49,4,9,1.7611164856819963,1,0,0.12099999999999998,6,21,1,37,1.1578121427116028,0,3,7,7,4,0,54,0.7172272468929901,0,49.9,128.49999999999994,5,24,2,34,0.6533983413252851,0
-0.7612769454321342,0.3945871294893473,0.6095330978972409,-0.44528119217227363,0.5187383691129365,0.02,0.09,3,41,4,17,0.7335590785544212,0,4,6,3,23,4,35,-0.886907504910943,0,61,72.5,3,49,4,9,1.7611164856819963,1,0,0.12099999999999998,6,21,1,37,1.1578121427116028,0,3,7,7,4,0,54,0.7172272468929901,0,49.9,128.49999999999994,5,24,2,34,0.6533983413252851,0
-0.7612769454321342,0.3945871294893473,0.6095330978972409,-0.44528119217227363,0.5187383691129365,0.02,0.09,3,41,4,17,0.7335590785544212,0,4,6,3,23,4,35,-0.886907504910943,0,61,72.5,3,49,4,9,1.7611164856819963,1,0,0.12099999999999998,6,21,1,37,1.1578121427116028,0,3,7,7,4,0,54,0.7172272468929901,0,49.9,128.49999999999994,5,24,2,34,0.6533983413252851,0
